,sku,a,b,c
0,8ba57dcdba9a58b0c4edd180bef6afc9,11.0,31.0,28.0
1,d9af6ce6f9e303f4b1a8cb47cde21975,29.0,14.0,40.0
2,8b91fd242bde88f0891380506d9c3caa,12.0,13.0,35.0
3,e8af308a7659e34194770d1e3a48e144,3.0,13.0,8.0
43,310ae64bae1ee777e8587730442dbe33,6.0,5.0,5.0
68,f8bb017b6762fac3730f82afc71bdfac,5.0,19.0,12.0
105,60df90da0d7e955bf678446f67a2a24b,7.0,15.0,4.0
106,60a925ae8e9a0614e9bfbc0ff3e312fd,10.0,6.0,10.0
107,99a45651830d213f2faccbf8fa46787e,16.0,22.0,3.0
108,d968560dbdc9ad813d7dfcf1c417ecc8,20.0,10.0,13.0
109,26bf7efb676265dae2875cc45fb88701,11.0,7.0,22.0
110,0bfbd8c1b12c90b911efebb615707a06,13.0,22.0,28.0
111,334cb7f166e4c61912a91db2a02c730d,15.0,2.0,8.0
112,653f431d2b7363587d5902dfbb94540b,10.0,15.0,10.0
113,903573e036a00f731f4481ea4032fe42,13.0,13.0,12.0
114,bac86304514a7213dd6f302a5e6f0bcd,43.0,16.0,37.0
115,b10d7e8c75f98a4efa31319ed2e0b3a8,19.0,4.0,12.0
116,4d6f4caa41a2acb85a6813d01af62ae7,15.0,5.0,10.0
117,4f57bd5d386f8ec25c3e56f68bc05f75,4.0,20.0,15.0
118,1bd3ca901ad5a98355caff4afb7689b1,12.0,16.0,11.0
119,3064952892f4872922b8d5a01ad81a7f,11.3,14.4,9.6
120,1d8bcaa22156d696e88638154ed1c809,20.0,26.0,33.0
121,2623cfcc785c5e466f306b5fca5702c5,11.0,21.0,4.0
122,e531174bf78c4782abc027154f15e211,11.0,19.0,6.0
123,04b3a2da89207d16a4bbefd47bb6b22c,17.0,14.0,14.0
124,c2a6121a4db9df10d6e03d62555cd24c,32.0,35.0,11.0
125,5f7107b5087c7ec6e494df2d3e9b059e,11.0,32.0,46.0
126,fd1d372b4d82ca0db0f4178e09198a7a,24.0,37.0,38.0
127,3a244d5f582b0f5ade36dbf5492d9d20,7.0,6.0,6.0
128,083fab61d9a1ff3deec7865f0d0fd1c0,60.0,25.0,50.0
129,657d67bb34cb4d39ea5e344919325027,16.0,2.0,9.0
130,6c5c33f94f7cc0bd908af946ba04b151,38.0,12.0,38.0
131,2cde04c1062fd2e686bd3bad831a12ac,23.0,16.0,41.0
132,08bb9220e841ddd8841c93647aa42cb3,11.0,2.0,5.0
133,5940202a886877652b14a6a6fc0ff292,5.0,19.0,12.0
134,2103f482e459d1d3d668af0fc5df71d1,6.0,16.0,6.0
135,3d23c44df1682fd9b44ff3e11c9ea21a,10.0,6.0,10.0
136,a699224a15dcb474118a2cb9002fac11,7.7,16.8,3.8
137,c0ead5b74d5386947d04b4a82a2e69ae,9.0,21.0,6.0
138,3a242c1b733e519ceb547f913ef9e9c1,3.0,8.0,16.0
139,3e9a39cb86beb802fb37e115259c2b21,15.0,5.0,10.0
140,6052e90f507d1e69b6c44f55a813b617,18.0,23.0,7.0
141,03d89ea88c9a7260cc2083a65b5ec078,5.0,6.0,5.0
142,56b6e604ce6d1f4dfd0e221afb6e6195,8.0,13.0,13.0
143,23fbc9a8dbe6f768568ca9717689c79b,7.0,19.0,10.0
144,95488b482ec040563f504c93e25e1a83,13.0,20.0,11.0
145,361dfdfc95ec9ebbb746057be63ed8ba,7.0,15.0,4.0
146,dca8be346747ff444c6903e0f16d28b3,10.0,16.0,9.0
147,a53a129e0ee4c8cc78a5b49a6df5fa0d,52.8,19.1,42.3
148,1f7fcd1990f60d81806a0ff18c96804d,20.0,23.0,17.0
149,e6ba1972ba66a84c306bed6543fdeb0a,6.0,6.0,6.0
150,57a7000abaaf73dd132caf24915d99d8,6.0,7.0,3.0
151,7828a726aabd63d632516662c97bb9ab,19.0,4.0,29.0
152,0a3af9787fa3af861a2812bae38216a8,20.0,15.0,20.0
153,0ae2c4bd7cb946a8e534baa21d79a65a,53.0,28.0,43.0
6086545,75c21cfa77763ccb8574127dce91078b,36.0,3.0,23.0
6091593,5f863de7185b639dc6a628704ed17484,11.0,6.0,31.0
6091591,af49bf330e2cf16e44f0be1bdfe337bd,11.0,6.0,31.0
