,sku,cargotype
5,24ce9dba9f301ada55f60e25ee1498d2,441
6,24ce9dba9f301ada55f60e25ee1498d2,490
7,54a4f25859c817c131b7ec620d1ff278,290
8,54a4f25859c817c131b7ec620d1ff278,441
9,54a4f25859c817c131b7ec620d1ff278,490
10,5b94613996d27ce2c3d9ad983f612a37,290
11,5b94613996d27ce2c3d9ad983f612a37,441
12,5b94613996d27ce2c3d9ad983f612a37,490
13,ac3377e20a2fb85f9f14f5ee8b53c410,290
14,ac3377e20a2fb85f9f14f5ee8b53c410,441
15,ac3377e20a2fb85f9f14f5ee8b53c410,490
16,d02004d7883b8cc3946276164b2c564f,290
17,d02004d7883b8cc3946276164b2c564f,441
18,d02004d7883b8cc3946276164b2c564f,490
40,e691211125c43d07895f56a3a8cc7438,292
41,e691211125c43d07895f56a3a8cc7438,410
42,e691211125c43d07895f56a3a8cc7438,480
43,e691211125c43d07895f56a3a8cc7438,485
44,e691211125c43d07895f56a3a8cc7438,520
45,e691211125c43d07895f56a3a8cc7438,670
46,fe46fb24a87e1c95a4fd792c21d322fb,292
47,fe46fb24a87e1c95a4fd792c21d322fb,410
48,fe46fb24a87e1c95a4fd792c21d322fb,480
49,fe46fb24a87e1c95a4fd792c21d322fb,485
50,fe46fb24a87e1c95a4fd792c21d322fb,670
51,afe0653e4c04ba5a4d30b608d9e88523,292
52,afe0653e4c04ba5a4d30b608d9e88523,410
53,afe0653e4c04ba5a4d30b608d9e88523,480
54,afe0653e4c04ba5a4d30b608d9e88523,485
55,afe0653e4c04ba5a4d30b608d9e88523,520
56,afe0653e4c04ba5a4d30b608d9e88523,670
57,f0e8999b37d2cce637c9d3fd803152b2,290
58,f0e8999b37d2cce637c9d3fd803152b2,410
59,f0e8999b37d2cce637c9d3fd803152b2,480
60,f0e8999b37d2cce637c9d3fd803152b2,485
61,f0e8999b37d2cce637c9d3fd803152b2,670
62,d97b006b79e1af8981fe9a49598c539b,290
63,d97b006b79e1af8981fe9a49598c539b,410
64,d97b006b79e1af8981fe9a49598c539b,480
65,d97b006b79e1af8981fe9a49598c539b,485
66,d97b006b79e1af8981fe9a49598c539b,520
67,d97b006b79e1af8981fe9a49598c539b,670
68,9f9195245fee6ebb93394dcb134b5c60,290
69,9f9195245fee6ebb93394dcb134b5c60,410
70,9f9195245fee6ebb93394dcb134b5c60,480
71,9f9195245fee6ebb93394dcb134b5c60,485
72,9f9195245fee6ebb93394dcb134b5c60,520
73,9f9195245fee6ebb93394dcb134b5c60,670
74,f31fcd9591c0fc4b8741e2f4f2baa3dc,290
75,f31fcd9591c0fc4b8741e2f4f2baa3dc,410
76,f31fcd9591c0fc4b8741e2f4f2baa3dc,480
77,f31fcd9591c0fc4b8741e2f4f2baa3dc,485
78,f31fcd9591c0fc4b8741e2f4f2baa3dc,520
79,f31fcd9591c0fc4b8741e2f4f2baa3dc,670
80,7b64ef8368db2d0d59b8365cd2d87abd,290
81,7b64ef8368db2d0d59b8365cd2d87abd,410
82,7b64ef8368db2d0d59b8365cd2d87abd,480
83,7b64ef8368db2d0d59b8365cd2d87abd,485
84,7b64ef8368db2d0d59b8365cd2d87abd,520
85,7b64ef8368db2d0d59b8365cd2d87abd,670
86,cc91987b6e08fee10304a857e2c81c9b,290
87,cc91987b6e08fee10304a857e2c81c9b,410
88,cc91987b6e08fee10304a857e2c81c9b,480
